Date,A,B,C,D,E,F,G,H
9/26/2025,13,8,1,3,2,5,11,15
10/3/2025,2,13,15,5,8,1,11,3
10/10/2025,3,8,15,1,13,5,2,11
10/17/2025,8,2,11,13,3,15,5,1
10/24/2025,1,13,15,2,8,11,5,3
11/7/2025,5,11,2,1,3,13,15,8
11/14/2025,3,2,11,1,5,8,15,13
11/21/2025,13,2,11,3,1,8,5,15
1/9/2026,3,8,11,2,13,5,15,1
1/16/2026,11,13,1,5,8,2,15,3
1/23/2026,2,15,5,3,13,1,8,11
1/30/2026,2,5,11,15,8,13,1,3
2/6/2026,3,13,2,1,5,11,15,8
2/13/2026,5,8,1,11,3,2,13,15
2/20/2026,3,11,8,1,15,5,2,13
2/27/2026,1,15,8,3,11,2,5,13
3/20/2026,1,5,2,8,13,11,15,3
3/27/2026,3,5,1,13,15,2,8,11
4/10/2026,11,15,13,8,3,1,2,5
4/17/2026,13,3,5,11,8,15,1,2
4/24/2026,13,15,1,11,3,2,5,8
